N,num_goldbach_pairs,rho_min,rho_mean,rho_max
3426,84,6.288692,7.136878,7.31867
3428,43,6.203318,6.804724,6.977958
3430,74,4.441906,5.239621,5.406429
3432,101,5.70028,6.464876,6.637695
3434,46,6.580313,7.164554,7.31885
3436,50,5.588593,6.773452,6.977501
3438,89,5.514768,6.617345,6.779272
3440,59,5.115509,6.139581,6.297574
3442,48,6.484427,7.158677,7.319093
3444,102,5.907202,6.819539,6.978712
3446,42,6.288491,7.157051,7.31919
3448,46,5.887724,6.470737,6.637851
3450,120,5.563745,6.364911,6.528982
3452,43,5.588829,6.770775,6.978943
3454,47,6.054422,7.146277,7.319381
3456,89,3.016489,4.035451,4.199051
3458,57,6.686961,7.169187,7.319406
3460,64,5.588946,6.793913,6.978583
3462,87,6.054407,7.144086,7.319569
3464,46,5.248817,6.436338,6.639244
3466,42,5.929197,7.091166,7.319673
3468,97,4.32395,5.41393,5.589262
3470,56,5.929208,7.09658,7.319758
3472,57,4.908939,6.080976,6.298056
3474,91,5.515392,6.577133,6.780871
3476,47,5.79673,6.791035,6.979852
3478,46,6.24734,7.10719,7.319541
3480,123,5.567333,6.457426,6.640015
3482,45,6.288133,7.156715,7.320057
3484,47,6.013667,6.812911,6.979994
3486,105,6.35359,7.147493,7.320145
3488,43,5.021097,5.794394,5.960602
3490,59,6.427228,7.161258,7.319758
3492,84,5.548694,6.266042,6.441779
3494,48,5.929269,7.112218,7.320344
3496,54,5.374737,6.45978,6.640662
3498,103,6.136671,7.151115,7.320377
3500,64,4.582137,5.229532,5.40295
3502,54,5.929289,7.126439,7.319008
3504,88,5.035204,6.120815,6.301379
3506,40,6.136634,7.14239,7.32063
3508,46,6.013664,6.807674,6.980929
3510,123,5.170444,6.081099,6.24406
3512,40,5.60861,6.456656,6.641543
3514,51,5.929319,7.141069,7.320176
3516,87,5.714743,6.807425,6.98125
3518,44,6.136578,7.144723,7.320914
3520,71,4.231738,5.447592,5.623307
3522,92,6.054299,7.123737,7.320947
3524,47,5.797078,6.791591,6.981566
3526,50,6.654847,7.187602,7.319849
3528,103,4.077207,4.974233,5.151396
3530,58,5.92936,7.103562,7.321186
3532,44,5.589987,6.794986,6.981707
3534,96,6.054277,7.144839,7.32126
3536,52,4.911382,6.079423,6.303339
3538,49,6.05427,7.118012,7.32057
3540,123,5.797193,6.799072,6.982125
3542,62,5.92939,7.125571,7.321468
3544,46,5.25092,6.418527,6.642933
3546,94,5.516615,6.585099,6.783916
3548,41,5.79725,6.775844,6.982412
3550,60,5.141888,6.327574,6.532662
3552,93,4.697671,5.763502,5.965044
3554,43,6.136413,7.109976,7.32176
3556,51,6.013657,6.80221,6.982553
3558,91,6.24667,7.115135,7.321774
3560,62,5.251334,6.45158,6.643798
3562,59,5.929439,7.119391,7.31976
3564,104,4.103296,5.175637,5.371063
3566,47,6.136358,7.124006,7.322039
3568,50,5.229716,6.133146,6.304909
3570,154,6.246571,7.144348,7.322132
3572,48,5.948347,6.780951,6.983267
3574,50,5.929469,7.138758,7.322225
3576,96,5.376474,6.465151,6.644542
3578,47,6.136304,7.116392,7.322317
3580,62,6.087121,6.815367,6.983298
3582,80,5.709495,6.603211,6.785355
3584,55,3.219319,4.400002,4.612275
3586,54,5.929499,7.110726,7.321965
3588,108,5.715456,6.788473,6.983819
3590,60,6.13625,7.130188,7.322592
3592,45,5.569031,6.476571,6.644855
3594,88,6.246374,7.145773,7.322672
3596,47,5.59089,6.769307,6.983674
3598,58,6.054164,7.130137,7.322768
3600,125,3.797617,4.789056,4.984228
3602,48,6.379243,7.128442,7.322871
3604,49,5.907751,6.796658,6.984017
3606,90,6.286933,7.142558,7.322932
3608,50,5.863685,6.476018,6.645962
3610,66,4.491749,5.711226,5.885221
3612,112,5.71569,6.806307,6.984648
3614,52,6.136142,7.122771,7.323103
3616,48,4.575955,5.781259,5.968841
3618,95,4.981486,6.060253,6.250557
3620,59,5.591223,6.767465,6.984891
3622,48,6.054123,7.145087,7.323328
3624,94,5.459471,6.448231,6.646739
3626,58,4.979895,6.158455,6.373502
3628,47,5.715845,6.777826,6.984555
3630,136,4.965936,5.969154,6.1533
3632,40,5.364203,6.141593,6.308873
3634,50,5.929616,7.12588,7.323599
3636,95,5.179925,6.250569,6.44941
3638,45,6.136035,7.116438,7.323562
3640,83,5.253368,6.464162,6.646917
3642,92,6.054088,7.123494,7.323775
3644,49,5.797923,6.752668,6.98563
3646,52,5.929645,7.12546,7.323873
3648,103,4.363874,5.457139,5.633675
3650,58,5.351128,6.314222,6.539015
3652,47,6.143053,6.830046,6.985205
3654,115,5.710215,6.604878,6.788378
3656,49,5.610563,6.437843,6.648087
3658,47,6.564558,7.175587,7.32412
3660,125,6.013642,6.813663,6.986161
3662,46,5.929683,7.122495,7.324234
3664,46,5.040469,6.109742,6.31055
3666,102,6.135912,7.150817,7.324183
3668,56,6.159103,6.805853,6.986474
3670,58,6.245762,7.16002,7.324403
3672,95,4.540066,5.417813,5.578164
3674,54,5.929712,7.118529,7.32441
3676,50,5.591991,6.771768,6.986634
3678,97,6.054027,7.136059,7.324588
3680,64,4.579001,5.761897,5.973803
3682,60,6.05402,7.141593,7.324617
3684,98,5.798196,6.785432,6.987064
3686,50,6.286186,7.144113,7.32419
3688,46,5.570435,6.443861,6.649554
3690,124,5.751114,6.601847,6.789791
3692,50,6.040587,6.815622,6.987342
3694,47,5.929759,7.1352,7.32495
3696,125,5.041487,6.138258,6.312441
3698,42,4.304512,5.287926,5.493756
3700,66,4.808761,6.035065,6.204018
3702,97,6.053986,7.145051,7.325099
3704,48,5.254955,6.403835,6.650312
3706,56,6.053979,7.138374,7.324193
3708,100,5.26364,6.276432,6.453169
3710,78,6.285966,7.138407,7.325264
3712,49,3.905849,5.109281,5.301319
3714,93,6.053966,7.121569,7.325386
3716,43,5.798413,6.779044,6.987759
3718,56,5.102886,5.902572,6.077464
3720,128,5.570892,6.46814,6.651039
3722,50,5.929825,7.117091,7.32557
3724,62,4.770135,5.86334,6.041784
3726,98,4.53244,5.549367,5.722429
3728,48,5.366253,6.128055,6.314254
3730,61,5.929844,7.102716,7.325622
3732,101,5.716831,6.799432,6.988683
3734,48,6.135617,7.126427,7.325834
3736,46,5.255736,6.496385,6.651724
3738,116,6.053926,7.135076,7.325921
3740,77,5.798573,6.787353,6.988947
3742,44,5.929872,7.131366,7.326009
3744,107,4.171931,5.248561,5.444068
3746,46,6.135565,7.105082,7.326096
3748,47,6.142652,6.83081,6.98921
3750,123,3.898304,4.806424,4.979355
3752,56,5.611811,6.469158,6.652454
3754,42,6.624447,7.173022,7.326271
3756,97,6.013628,6.807423,6.989472
3758,49,6.377343,7.152496,7.326358
3760,67,5.552349,6.164119,6.315999
3762,112,5.88967,6.633032,6.792662
3764,50,5.593168,6.787336,6.989555
3766,58,6.053879,7.171819,7.32653
3768,91,5.462047,6.469802,6.65315
3770,73,5.929937,7.123036,7.325907
3772,54,5.593273,6.769154,6.989978
3774,103,6.053866,7.134569,7.326692
3776,49,4.45231,5.448545,5.642953
3778,48,6.244917,7.153094,7.326792
3780,149,4.841379,5.750078,5.923305
3782,51,5.929965,7.120508,7.326634
3784,52,5.380772,6.469444,6.653829
3786,96,6.135395,7.14081,7.326952
3788,50,6.040493,6.824224,6.989927
3790,63,6.244825,7.14507,7.327049
3792,88,5.275867,6.144426,6.317717
3794,55,6.657278,7.159304,7.32705
3796,50,5.593587,6.81575,6.990766
3798,100,5.520664,6.596618,6.793992
3800,70,4.476253,5.675518,5.873441
3802,46,6.05382,7.13667,7.32731
3804,92,5.798996,6.808476,6.990972
3806,55,5.93002,7.111619,7.327335
3808,64,4.708687,5.776461,5.982314
3810,130,6.135294,7.146883,7.327436
3812,48,6.040469,6.803469,6.991237
3814,49,6.244642,7.134982,7.327567
3816,95,5.079765,5.936689,6.12225
3818,44,6.718339,7.19499,7.327535
3820,68,6.013619,6.828841,6.991542
3822,124,5.432951,6.219963,6.384065
3824,48,4.921731,6.130605,6.319349
3826,52,5.930065,7.118598,7.327823
3828,109,5.717711,6.815341,6.991717
3830,67,6.135211,7.162258,7.327822
3832,46,5.572456,6.47704,6.655886
3834,100,5.179385,6.085955,6.26287
3836,58,5.594105,6.780885,6.990849
3838,57,6.053762,7.146888,7.328068
3840,128,3.78359,4.801179,4.97653
3842,49,6.376359,7.16058,7.32763
3844,50,4.244415,5.14376,5.3282
3846,98,6.284748,7.161693,7.328241
3848,51,6.045988,6.50771,6.656319
3850,87,5.150337,6.366831,6.548512
3852,93,5.185675,6.286527,6.460269
3854,52,5.930128,7.112688,7.328181
3856,50,4.92282,6.101188,6.321117
3858,98,6.05373,7.146422,7.328469
3860,59,5.799358,6.823267,6.992603
3862,47,6.24428,7.148954,7.328585
3864,122,5.572892,6.474811,6.657254
3866,51,5.930155,7.103554,7.328669
3868,50,5.718069,6.779755,6.992935
3870,133,5.603095,6.622879,6.796585
3872,52,3.87261,4.667617,4.825181
3874,53,6.244191,7.139963,7.328753
3876,110,5.948926,6.819985,6.993164
3878,54,6.493682,7.179834,7.328689
3880,65,5.259149,6.479616,6.65792
3882,97,6.053691,7.149182,7.329
3884,53,5.594718,6.78952,6.993564
3886,53,6.053685,7.148742,7.32903
3888,92,3.002059,4.024714,4.196099
3890,65,6.284366,7.148013,7.328893
3892,62,5.59482,6.787514,6.99375
3894,109,6.053672,7.138996,7.329153
3896,53,5.464236,6.458596,6.65829
3898,50,6.348938,7.162266,7.329338
3900,140,5.130122,6.046453,6.215504
3902,43,6.284262,7.168284,7.329422
3904,52,4.745264,5.481374,5.653093
3906,117,5.817499,6.630752,6.798124
3908,48,6.040377,6.816642,6.993963
3910,75,5.930253,7.16051,7.329551
3912,98,5.383273,6.492936,6.659225
3914,53,5.930262,7.128086,7.329088
3916,55,5.718493,6.830172,6.99444
3918,93,6.134849,7.143492,7.329704
3920,82,3.984214,5.197123,5.383688
3922,48,5.930279,7.109962,7.329827
3924,98,5.187503,6.254984,6.463748
3926,53,5.930288,7.110769,7.329862
3928,55,5.383578,6.456513,6.659905
3930,136,6.134801,7.145184,7.329989
3932,48,5.595322,6.779794,6.994995
3934,57,5.930306,7.070174,7.330002
3936,103,4.713854,5.790099,5.99035
3938,54,6.134769,7.154201,7.330145
3940,68,5.908807,6.810224,6.995107
3942,99,5.182157,6.079106,6.268685
3944,52,5.614192,6.497835,6.66055
3946,52,5.930332,7.132161,7.33033
3948,121,5.718772,6.812675,6.995523
3950,66,5.152972,6.325224,6.553008
3952,61,5.049259,6.132807,6.326131
3954,100,6.134704,7.136428,7.330452
3956,51,5.949069,6.807071,6.99512
3958,53,6.243573,7.146967,7.330575
3960,145,5.08391,5.942472,6.130754
3962,55,6.374998,7.159658,7.330601
3964,52,6.013597,6.80857,6.995643
3966,107,6.374954,7.167849,7.330737
3968,52,4.527034,5.176102,5.323049
3970,72,5.930384,7.133875,7.330811
3972,95,5.71898,6.814642,6.996287
3974,52,6.134625,7.137093,7.330901
3976,63,5.807214,6.510092,6.661878
3978,111,5.713244,6.630716,6.800792
3980,62,5.949111,6.817544,6.996534
3982,53,6.620203,7.171153,7.331055
3984,94,5.344698,6.14838,6.327758
3986,54,6.374732,7.153084,7.331144
3988,49,6.224495,6.83734,6.996654
3990,163,6.420529,7.167944,7.331225
3992,49,5.261697,6.489597,6.662531
3994,52,6.053516,7.151325,7.331306
3996,99,4.74042,5.769486,5.937229
3998,47,6.491927,7.183088,7.331387
4000,65,3.353746,4.279711,4.441902
4002,106,6.283415,7.171189,7.331467
4004,72,5.596211,6.822608,6.997257
4006,52,5.930461,7.132655,7.331548
4008,104,5.385082,6.4905,6.663173
4010,65,5.93047,7.147786,7.331626
4012,54,5.719322,6.786097,6.997437
4014,108,5.604858,6.627452,6.802099
4016,55,4.928106,6.133854,6.329367
4018,66,5.115526,6.19896,6.393782
4020,133,5.800357,6.819106,6.99774
4022,43,5.930495,7.144661,7.331869
4024,55,5.262408,6.428644,6.663804
4026,114,6.053467,7.132788,7.331937
4028,44,5.800406,6.824847,6.997983
4030,80,5.930512,7.131057,7.33202
4032,118,3.854306,4.948232,5.132907
4034,54,6.134388,7.143111,7.332109
4036,48,6.013586,6.788923,6.998197
4038,99,6.242999,7.158229,7.332185
4040,70,5.615328,6.496219,6.664452
4042,51,6.419891,7.155109,7.332249
4044,100,6.013585,6.809601,6.99846
4046,63,5.009573,5.794556,5.967843
4048,59,5.473856,6.14652,6.330849
4050,125,4.057648,4.800234,4.970269
4052,44,5.596792,6.826002,6.998657
4054,55,5.930563,7.117872,7.332506
4056,109,4.15103,5.244461,5.430155
4058,44,6.134295,7.135592,7.332585
4060,81,5.596888,6.805911,6.998874
4062,97,6.053412,7.142231,7.332605
4064,51,4.799679,5.789274,5.998087
4066,54,6.34721,7.174312,7.332742
4068,98,5.380422,6.292366,6.470416
4070,74,6.282854,7.154684,7.332804
4072,51,5.75239,6.486925,6.665661
4074,122,6.34713,7.160021,7.332862
4076,49,5.59708,6.80035,6.999294
4078,51,6.053388,7.132682,7.33298
4080,142,5.133739,6.163297,6.332539
4082,57,5.930622,7.160321,7.33305
4084,50,5.719928,6.812299,6.999559
4086,108,5.60571,6.622656,6.804622
4088,58,5.823828,6.512423,6.666237
4090,65,6.242634,7.14303,7.333197
4092,113,5.949302,6.838673,6.99988
4094,51,5.930647,7.140679,7.33322
4096,53,2.263984,3.424264,3.666641
4098,102,6.053358,7.156487,7.33335
4100,66,5.026953,6.059194,6.22617
4102,61,5.930663,7.112047,7.333442
4104,104,4.330445,5.41516,5.610516
4106,53,6.13411,7.140454,7.333529
4108,55,6.013575,6.818973,7.000339
4110,139,6.242495,7.159113,7.333568
4112,47,5.282981,6.167018,6.334073
4114,61,4.778152,5.992505,6.181097
4116,122,3.849718,4.948356,5.130109
4118,55,6.134064,7.147585,7.333711
4120,71,5.8081,6.494162,6.667578
4122,96,5.714492,6.628446,6.805917
4124,53,5.949356,6.820062,7.000671
4126,50,6.58916,7.176879,7.333918
4128,107,5.014507,5.837893,6.001834
4130,82,5.930721,7.148149,7.333865
