N,p,q,type,rad_odd_pq,conductor_proxy,rho
8192,1454,6738,Composite,2449263,5998889243169,3.265218
8192,1455,6737,Mixed,9802335,96085771452225,3.57303
8192,1456,6736,Composite,38311,1467732721,2.34238
8192,1457,6735,Composite,9812895,96292908281025,3.573269
8192,1458,6734,Composite,10101,102030201,2.046494
8192,1459,6733,Goldbach,9823447,96500110961809,3.573507
8192,1460,6732,Composite,204765,41928705225,2.714401
8192,1461,6731,Composite,9833991,96707378988081,3.573745
8192,1462,6730,Composite,2459815,6050689834225,3.266172
8192,1463,6729,Composite,9844527,96914711853729,3.573983
8192,1464,6728,Composite,5307,28164249,1.903643
8192,1465,6727,Composite,317905,101063589025,2.812036
8192,1466,6726,Composite,2465079,6076614476241,3.266647
8192,1467,6725,Composite,657705,432575867025,2.973397
8192,1468,6724,Composite,15047,226412209,2.134952
8192,1469,6723,Composite,365781,133795739961,2.843172
8192,1470,6722,Composite,352905,124541939025,2.835219
8192,1471,6721,Mixed,9886591,97744681601281,3.574929
8192,1472,6720,Composite,2415,5832225,1.728893
8192,1473,6719,Mixed,9897087,97952331085569,3.575165
8192,1474,6718,Composite,2475583,6128511189889,3.26759
8192,1475,6717,Composite,1981515,3926401695225,3.21818
8192,1476,6716,Composite,206517,42649271289,2.716292
8192,1477,6715,Composite,9918055,98367814983025,3.575635
8192,1478,6714,Composite,826941,683831417481,3.024219
8192,1479,6713,Composite,1418361,2011747926321,3.143968
8192,1480,6712,Composite,155215,24091696225,2.652909
8192,1481,6711,Mixed,9938991,98783542098081,3.576103
8192,1482,6710,Composite,2486055,6180469463025,3.268527
8192,1483,6709,Goldbach,9949447,98991495605809,3.576336
8192,1484,6708,Composite,622167,387091775889,2.961068
8192,1485,6707,Composite,1106655,1224685289025,3.088888
8192,1486,6706,Composite,2491279,6206471055841,3.268993
8192,1487,6705,Mixed,3323445,11045286668025,3.332961
8192,1488,6704,Composite,38967,1518427089,2.346148
8192,1489,6703,Goldbach,9980767,99615709908289,3.577034
8192,1490,6702,Composite,2496495,6232487285025,3.269457
8192,1491,6701,Mixed,9991191,99823897598481,3.577265
8192,1492,6700,Composite,124955,15613752025,2.604777
8192,1493,6699,Mixed,10001607,100032142582449,3.577497
8192,1494,6698,Composite,833901,695390877801,3.026079
8192,1495,6697,Composite,10012015,100240444360225,3.577728
8192,1496,6696,Composite,17391,302446881,2.167085
8192,1497,6695,Composite,10022415,100448802432225,3.577958
8192,1498,6694,Composite,2506903,6284562651409,3.270381
8192,1499,6693,Mixed,10032807,100657216299249,3.578188
8192,1500,6692,Composite,25095,629759025,2.248479
8192,1501,6691,Mixed,10043191,100865685462481,3.578418
8192,1502,6690,Composite,2512095,6310621289025,3.27084
8192,1503,6689,Mixed,3351189,11230467713721,3.334806
8192,1504,6688,Composite,9823,96491329,2.0403
8192,1505,6687,Composite,3354645,11253643076025,3.335035
8192,1506,6686,Composite,2517279,6336693563841,3.271297
